# topology in "Lightpath Management in SDN-Based Elastic Optical Networks With Power Consumption Considerations"
24
43
0 1 800000
0 5 1000000
1 2 1000000
1 5 950000
2 3 250000
2 4 800000
2 6 1000000
3 4 800000
3 6 850000
4 7 1200000
5 6 1000000
5 8 1200000
5 10 1900000
6 7 1150000
6 8 1000000
7 9 900000
8 9 1000000
8 10 1400000
8 11 1000000
9 12 950000
9 13 850000
10 11 900000
10 14 1300000
10 18 2600000
11 12 900000
11 15 1000000
12 13 650000
12 16 1100000
13 17 1200000
14 15 600000
14 19 1300000
15 16 1000000
15 20 1000000
15 21 800000
16 17 800000
16 21 850000
16 22 1000000
17 23 900000
18 19 1200000
19 20 700000
20 21 300000
21 22 600000
22 23 900000
